Sl no,Company name,Mission statement and core values
11,Dell,"We know our culture matters in how we run the business, how we go to market, and how we lead each other. It describes what we care about, the things in which we’re willing to invest and the rules that define us as a team.

Our culture is defined by our values and made real every day by how we work and lead. We know our culture is the foundation for all we’ve achieved, and for all the success ahead of us. This is our culture code. #CultureCode.Our top culture attributes that drive the company's success include:
Customers: We believe our relationships with customers are the ultimate differentiator and the foundation for our success.
Winning together: We believe in and value our people. We perform better, are smarter, and have more fun working as a team than as individuals.
Innovation: We believe our ability to innovate and cultivate breakthrough thinking is an engine for growth, success and progress.
Results: We believe in being accountable to an exceptional standard of excellence and performance.
Integrity: We believe integrity must always govern our fierce desire to win"
12,Salesforce,"Salesforce pioneered a new technology model with our cloud platform, a new pay-as-you-go business model focused on customer success, and a new integrated corporate philanthropy model, called the 1-1-1 model, by which we donate 1% of our equity, 1% of our employee time, and 1% of our product to improve communities around the world.

This vision has fueled our incredible growth, made us the global leader in CRM, defined the era of enterprise cloud computing, and inspired a new philanthropic model for all companies to follow. Today, Salesforce’s Customer Success Platform provides groundbreaking cloud services for sales, service, marketing, community, analytics, apps and the Internet of Things.

Thanks to our dedicated employees, partners, and the customers we serve, Salesforce is the fastest growing top 10 software company in the world and has been ranked as one of the world’s most innovative companies by Forbes for five years in a row. Salesforce empowers companies to connect with their customers in a whole new way, run their business from their phones, create one-to-one customer journeys and make smarter, more predictive decisions from anywhere in real-time."
13,Splunk,"Passionate
“People + Product + Passion = Splunk”
You can have the best people and the best product in the world, but without passion, you can't call it Splunk. Passion is the single most valuable element of our culture. It's the one emotion which all Splunkers possess the most of, the quality that drives us further and enables us to reach higher. It's the reason we get excited to share Splunk with anyone who will listen and it's the reason we keep striving every day to protect what Splunk is and improve what Splunk does. And if you don't believe it, just ask us to tell you about Splunk and see what happens.
Disruptive
“We strive to lead, not follow, while continuing to disrupt the market.”
We have never settled for the status quo. We look at a problem and ask, “How can we do that better?” We recognize when we (or others) fail to execute, learn from those lessons—and submit a new, better solution to the problem. We continually reevaluate the solution to ensure it is still the best answer and tweak it to take advantage of new pieces of information.
Open
“We are open and honest in our interactions.”
We keep it real by being open and honest. We are a collaborative team that understands the value in open communication—it's how we interact with our customers. We have an open door policy—and we like it that way. At Splunk, our customers are number one and that's how they are treated.
Fun
“We are committed to this environment of having fun and working hard at the same time.”
“Work hard, play harder” has been a phrase used at Splunk since the time when we all sat in the same office and had to build our own desks. We are a company that recognizes that we are only as good as those around us. People who do not look forward to representing Splunk every day are not the type of people that will catapult us to the upper echelons of success. We are committed to having every employee WANT to give it their all, be respectful and a part of this family, and have a smile on their face while doing it"
14,Hewlett-Packard,"Our vision is to create technology that makes life better for everyone, everywhere — every person, every organization, and every community around the globe. This motivates us — inspires us — to do what we do. To make what we make. To invent, and to reinvent. To engineer experiences that amaze. We won’t stop pushing ahead, because you won’t stop pushing ahead. You’re reinventing how you work. How you play. How you live. With our technology, you’ll reinvent your world.
This is our calling. This is a new HP. 
Engineering that amazes
Innovation. It’s in our blood. But we don’t just create technology — we create technology with a purpose: to make life better for everyone, everywhere."
15,SnapLogic,"SnapLogic is the industry’s first unified data and application integration platform as a service (iPaaS). Our hybrid cloud architecture is powered by 300+ Snaps, which are pre-built integration components that simplify and automate complex enterprise integration patterns and processes. Funded by leading venture investors, including Andreessen Horowitz and Ignition Partners, and co-founded by Gaurav Dhillon, the SnapLogic Elastic Integration Platform enables leading enterprises to connect faster and gain a better return on their cloud application and big data investments.Connect Data, Applications, APIs and Things Faster with our Cloud Enterprise Integration Platform
SnapLogic allows enterprise IT organizations and lines of business to connect faster. Accelerate the adoption of cloud apps like Workday, Salesforce and ServiceNow. Get more from your big data investments and power modern analytics. Re-think legacy approaches to data and application integration with a unified integration platform as a service (iPaaS).Does your IT organization have one set of integration technologies and people focused on enterprise application integration and another team focused on data integration for business intelligence? Are you struggling with “The Integrator’s Dilemma”?
At SnapLogic, we’re 100% focused on delivering a unified integration platform as a service (iPaaS) that can handle extraction, transformation and load (ETL) or ELT and low-latency enterprise service bus (ESB) requirements without the overhead."
16,Numerify,"Numerify was founded with the vision of making analytics the status quo for all facets of the enterprise. We build solutions that align with the needs of the business. Our analytic applications encapsulate best practices, a unified data model, and a superior user experience. By employing data science algorithms and advanced deployment techniques, our customers are up and running within days. From Fortune 500s to top universities, organizations are uncovering insights, making data-driven decisions, and finding business value with Numerify.
Leadership
We’re led by industry veterans with over 275 years of collective experience in analytics"
17,Attivio,"ROOTS IN ENTERPRISE SEARCH AND TEXT ANALYTICS
Founded in 2007, Attivio soon established itself as a leader in enterprise search and text analytics. Many of the Fortune 100 continue to rely on Attivio to quickly find, correlate, and return the most relevant search results to boost knowledge worker productivity. Building on its successful heritage and technology, Attivio began expanding into the Big Data market in 2013 by delivering search-based applications, such as eCommunications Surveillance and Know Your Customer.
EXPERTISE IN BIG DATA, BUSINESS INTELLIGENCE, AND ANALYTICS
Attivio extended its leadership in the Big Data market in 2015 by launching its Semantic Data Catalog solution, which enables Data Management professionals to quickly profile and identify all unstructured, semi-structured, and structured data across an enterprise. Attivio’s semantic catalog provides a foundation for enterprises to accelerate data discovery for BI and data preparation for ETL, deploy data-driven apps built on Hadoop, and rationalize data storage."
18,Pivotal,"Companies with the Silicon Valley state of mind are pushing the boundaries of human behavior and how business gets done. They’re nimble, software-driven, and competitive. Many are market leaders. But there’s no monopoly on good ideas. Traditional businesses have been successful for a reason. They have experience on their side. Yet they’re eager to embrace the digital future. That’s where Pivotal excels.
Pivotal is changing the world by building great software companies. Only Pivotal combines the best of the Silicon Valley state of mind with a business’ core values and expertise to innovate and disrupt.
We enable the leading companies in the world to transform with a modern approach focused on building—not buying—software. We overcome challenges associated with lengthy enterprise IT cycles by accelerating application delivery. We develop better products, together, using a proven methodology and the most powerful continuous innovation platform.
Our cloud native platform is optimized for change so enterprises can move at start-up speeds and with greater business agility. Our methodology is about evolving, in both development and innovation, and our culture is empowering. Our team uses agile and lean approaches to teach next-generation developers to create and build new solutions.Pivotal unleashes the power of the Silicon Valley state of mind on companies with decades of industry know-how, combining traditional experience with industry-leading capabilities and infrastructure to reshape the world"
19,IBM,"IBMers value. Dedication to every client's success. Innovation that matters - for our company and for the world. Trust and personal responsibility in all relationships.
A company based on Values
Enterprises built to endure stand on a foundation of core values. In 2003, we undertook the first disciplined reexamination of our Values in nearly 100 years.
Through ValuesJam – an unprecedented 72-hour discussion on the global intranet – IBMers came together to define the essence of the company. The result? A set of core Values – defined by IBMers for IBMers – that shape everything we do and every choice we make on behalf of the company.
This shared set of Values helps guide our decisions, actions and behaviors and is at the core of our collective aspiration to be recognized as a great company.
“If there's no way to optimize IBM through organizational structure or by management dictate, you have to empower people while ensuring that they're making the right calls the right way. And by 'right,' I'm not talking about ethics and legal compliance alone; those are table stakes. I'm talking about decisions that support and give life to IBM's strategy and brand, decisions that shape a culture. That's why values, for us, aren't soft. They're the basis of what we do, our mission as a company...You've got to create a management system that empowers people and provides a basis for decision making that is consistent with who we are at IBM.”
Sam Palmisano, Harvard Business Review Interview, Leading Change When Business is Good
By Values we mean:
At IBM, Values mean more than ethics, compliance, or even a code of conduct. Values express:
What differentiates IBM with clients, investors, employees, communities
Our mission, our aspirations
How we make decisions at our company
How we behave and act, collectively and individually
Our shared Values in action
Dedication to every client's success.
IBMers...
are passionate about building strong, long-lasting client relationships. This dedication spurs us to go ""above and beyond"" on our client's behalf.
are focused on outcomes. We sell products, services and solutions to help our clients succeed, however they measure success.
demonstrate this personal dedication to every client, from the largest corporation and government agency to the smallest organization.
no matter where they work, have a role in client success. It requires the full spectrum of IBM expertise.
Innovation that matters - for our company and for the world.
IBMers...
are forward thinkers. We believe that the application of intelligence, reason and science can improve business, society and the human condition.
love grand challenges, as well as everyday improvements. Whatever the problem or the context, every IBMer seeks ways to tackle it creatively — to be an innovator.
strive to be first — in technology, in business, in responsible policy.
take informed risks and champion new (sometimes unpopular) ideas.
Trust and personal responsibility in all relationships.
IBMers...
actively build relationships with all the constituencies of our business — including clients, partners, communities, investors and fellow IBMers.
build trust by listening, following through and keeping their word.
rely on our colleagues to do the right thing.
preserve trust even when formal relationships end."
20,Syncsort,"Integrating Big Data….Smarter 
With ingenuity, innovation and a healthy measure of inspiration, Syncsort is committed to helping the world’s data-intensive organizations unleash the power of Big Data Integration to collect, process and distribute Big Data.  We strive to help our customers ask the Big questions by making what was hard easy and what was impossible routine.
 
The secret to our success has been to continually innovate and evolve our software as new, disruptive technologies and approaches are employed by IT organizations to enable the business to compete and grow.  Here’s a brief recap of our story, from our founding legacy as the world’s most popular and widely used mainframe sorting software to today’s data integration solutions that provide a smarter way to maximize the value of Big Data.
Rethinking the economics of data since 1968

In the early days of mainframe computing, systems required huge monetary investments, specialized expertise to operate and a large amount of time to perform even the simplest functions. In 1968, seven recent graduates of New York University and Columbia University forged a partnership to find a better, smarter way to process data. They were determined to develop a software solution that increased mainframe performance while reducing operational costs.
 
Starting business as Whitlow Computer Systems, the seven partners spent years perfecting a series of algorithms that streamlined mainframe sorting, used less resources, adapted to specific environmental variables and scaled to meet the demands of growing data volumes. In time, the team at Whitlow developed software that vastly outperformed all other sorting solutions and earned their first patents. In late 1971, these patented algorithms became the basis of the first version of their solution. They called it “SyncSort.”
Integrating Big Data…Smarter for today’s most successful organizations.

Today, Syncsort is expanding our Big Data Integration solutions to provide data-intensive organizations across the big data continuum with a smarter way to collect and process the ever-expanding data avalanche.  With thousands of deployments across all major platforms, including mainframe, Syncsort helps customers around the world to overcome the architectural limits of today’s ETL and Hadoop environments, empowering their organizations to drive better business outcomes in less time, with less resources and lower TCO.

Headquartered in New Jersey, Syncsort has international subsidiaries in the United Kingdom, France and Germany, with support centers across the United States and the Netherlands. "
21,Basho Technologies,"BASHOPRODUCTS
Basho Man
The Riak product line is built on a set of core services providing a highly reliable, scalable distributed systems framework. Riak KV is a distributed NoSQL database. Riak TS is built on the same core foundation as Riak KV and is highly optimized for IoT and time series data. Riak also integrates with Riak S2 to optimize large object storage, and integrates with other data services including Apache Spark, Redis Caching, Apache Solr, and Apache Mesos.
Building Big Data application can be complex but integrating Riak with other Big Data services is easy. Riak is integrated with Apache Spark, Redis caching, Apache Solr and Mesos.Basho changes the way companies in virtually every industry store unstructured data and manage their active data workloads – to the benefit of their customers, their employees and their bottom line.Basho products are built on a set of core services to deliver the availability, scalability and operational simplicity requirements that traditional databases cannot meet; plus accommodate a variety of use cases that other NoSQL databases can’t match.Bringing zen to the deluge of data.
Basho delivers highly available, scalable distributed systems that are easy to operate at enterprise scale for empowering applications to store and retrieve unstructured data and easily manage active data workloads.
Becoming one with Big Data.
The Basho Data Platform forms the foundation for reducing the complexity of integrating and deploying active workloads for Big Data, IoT and hybrid cloud applications with today’s most flexible and available NoSQL database, Riak KV, Basho’s large object storage software, Riak S2, Basho’s time series optimized database, Riak TS, and add-ons for Apache Spark, Redis and Apache Solr.

Seeking the path to data simplicity.
Riak KV, Riak S2 and Riak TS allow organizations to transcend the chaos of unstructured Big Data in enterprise IT environments with solutions that assure the high availability, fault tolerance, scalability and operational simplicity needed to store session, user or device data or a variety of other uses.

Expanding awareness. Embracing change.
Riak customers span a broad range of industries with more than one-third of Fortune 50 companies deploying it to power their Big Data applications and a growing number of users are turning to Basho for solutions when mission-critical, revenue generating applications need to scale rapidly, predictably and reliably.

Our journey. Your destination.
Founded in 2008, Basho was one of the first distributed systems companies dedicated to developing disruptive technology to simplify the most critical data management challenges for enterprises.
It currently has one of the largest and most talented groups of engineers and technical experts ever assembled, devoted exclusively to solving some of the most complex issues presented by scaling distributed systems.
Basho also enjoys a large and growing following among influential programmers, architects and academics, and is the organizer of RICON, a distributed systems conference that brings together many of today’s leading luminaries in the expanding universe of enlightened distributed database management."
22,Aerospike,"WHY WE BUILT AEROSPIKE
We’re a group of engineers who are fanatical about performance, and fanatical about reliability.

As long-time industry veterans, we believed that multicore processing, modern networks, Flash storage, and the latest memory architectures together provide a new generation of data architecture. Along the way, NoSQL was coined, providing a framework for a database revolution.

We wanted to give all technologists the type of next generation tools built internally at large internet companies like Google, Twitter, and Amazon. We wanted to make scaling easy, but also affordable.

We set out to build the fastest and most reliable database in the world. Aerospike is the first flash-optimized enterprise NoSQL database with strong consistency and 5 9’s uptime, and making the result open source.
What we do
""For us, 100% uptime is the top metric of success, and that's what we've been able to achieve with the Aerospike real-time enterprise NoSQL database."" - Michael Yudin, adMarketplace CTO

We care about what you’re building
We want you to build something cooler than has been built ever before. With more data and with increasing velocity --- you need to put your creative energy into making your project great, not reinventing the database. Our sales engineers take the time to understand what you’re building, and can recommend hardware configurations, data models, or will even advise you when not to use Aerospike if that makes sense.

Learn more about our technologies

We built our company around mission driven engineering.
We’re engineers, not academics. At our headquarters in Mountain View and engineering offices in Bangalore, we’ve assembled a team that combines practical expertise in distributed systems engineering, cloud computing, networking, databases, and software development. Whatever their role, each Aerospiker combines an uncompromising engineering mindset with an unwavering focus on executing in service of the mission on behalf of our community.
We’re here for the long haul
Continually improving Aerospike takes time, energy, hardware, and the hard work of many people. Our business model - with full speed and scale open source funded by our Enterprise NoSQL Edition - allows us to continue to innovate in systems and data structures, to provide high grade support, and be here to help when you need it.

AN ENGINEERING CULTURE
Engineers build things that solve problems, speak up when things aren’t right, evaluate ideas on their merits and build things that fix what’s broken. At Aerospike, we are all engineers and we are focused on solving the hardest problems we can find.

MARKETING YOUR SUCCESS
We’ve succeeded only when you’re using Aerospike to build something cool. Anything else is an opinion --- engineering includes the tradeoffs. Engineering proves its worth when it solves real world problems, not academic exercises.

enterprise NoSQL innovations
THE BEST IDEA WINS
We don’t get everything correct. We’ve got our opinions, our plans, and we trade complexity for features and performance daily. Our internal processes can be contentious, our forum conversations can be heated, but every conversation has one goal: a better enterprise NoSQL database solution

INNOVATION IN BUSINESS
Aerospike prices Enterprise Edition by data volume. We saw that database pricing based on nodes was irrational - that business value was based on the quantity and velocity of data. By pricing closest to business value - not node count - we make sure your operations staff chooses the right hardware, instead playing games to avoid software licenses."
23,Cask,"Cask, the company that makes building and running big data solutions easy, provides the first unified integration platform
for big data that cuts down the time to production for data applications and data lakes by 80%.
What Matters Most
simplicity, innovation, reliability, community, developers, customer success"
24,Confluent,"Founded by the team that built Apache Kafka™, Confluent builds a stream data platform
that enables companies to easily access data as real-time streamsConfluent was founded by the team that built Apache Kafka™ at LinkedIn and that scaled Kafka to accommodate over 1 trillion messages per day – covering everything happening in a company.

Every byte of data has a story to tell, something of significance that will inform the next thing to be done. In a data-driven enterprise, how we move our data becomes nearly as important as the data itself. With greater speed and agility, data’s value increases exponentially.

From its very early days, we have open-sourced Kafka and have led it to impressive industry-wide adoption across several thousand companies. Now we are focusing on building a stream data platform to help other companies get easy access to enterprise data as real-time streams."
25,Couchbase,"Couchbase is part of the $35 billion database market and has quickly built a reputation among the Fortune 500 as the performance and scalability leader among NoSQL vendors. The database market is highly competitive, with legacy vendors like Oracle being challenged by NoSQL vendors such as Couchbase, as well as competitors like DataStax and MongoDB. According to a report from Allied Market Research, the NoSQL database market is expected to reach $4.2 billion by 2020, a CAGR of 35 percent from 2014-2020.
 
Developers around the world build enterprise web, mobile, and IoT applications on the Couchbase data management platform to support massive data volumes in real time. The Couchbase platform includes Couchbase Server, Couchbase Lite - the first mobile NoSQL database, and Couchbase Sync Gateway.
 
Couchbase makes it easy for developers to build enterprise applications on NoSQL using N1QL, a declarative query language that extends SQL for JSON.  Couchbase also makes it easy to operate at any scale, with elastic scalability and configurable cross data center replication to increase data locality and availability.  All Couchbase products are open source projects.
 
Couchbase customers include leaders from every industry:
 
Advertising: AOL, Criteo
Banking and Finance: Citibank, Nielsen, PayPal, Visa, Wells Fargo, Willis Group
Communications: AT&T, Sky, Orange, Verizon
Gaming / Social Media: Blizzard Entertainment / Activision, Scientific Games, Viber / Rakuten, Zynga
Manufacturing: General Electric
Media & Publishing: Comcast, Gannett, McGraw-Hill
Retail: Neiman Marcus, Nordstrom, Nike
Technology: eBay, LinkedIn, Intuit / Turbo Tax
Travel & Entertainment: Amadeus, Disney, CenterEdge, Marriott, Ryanair
 
Couchbase investors include Accel Partners, Adams Street Partners, Ignition Partners, Mayfield Fund, North Bridge Venture Partners, Sorenson Capital and WestSummit. The company has raised $146 million in seven rounds of funding with its most recent round of $30 million in March 2016."
